Datetime,Open,High,Low,Close,Adj Close,Volume,std_7,std_14,std_21,std_30,mean_7,mean_14,mean_21,mean_30,stdp7,stdp14,stdn14,stdp21,stdn21,stdp30,stdn30,min,max
2024-06-23 00:00:00,64248.96484375,64322.09765625,64245.484375,64322.09765625,64322.09765625,23052288,,,,,,,,,,,,,,,,,
2024-06-23 00:15:00,64322.55859375,64359.41796875,64320.49609375,64321.44140625,64321.44140625,13752320,,,,,,,,,,,,,,,,,
2024-06-23 00:30:00,64328.8828125,64454.38671875,64328.8828125,64454.38671875,64454.38671875,38154240,,,,,,,,,,,,,,,,,
2024-06-23 00:45:00,64465.47265625,64485.9765625,64438.03515625,64444.95703125,64444.95703125,12141568,,,,,,,,,,,,,,,,,
2024-06-23 01:00:00,64445.3359375,64490.8125,64382.3125,64382.3125,64382.3125,0,,,,,,,,,,,,,,,,,
2024-06-23 01:15:00,64358.91015625,64406.390625,64348.6953125,64400.0546875,64400.0546875,65084416,,,,,,,,,,,,,,,,,
2024-06-23 01:30:00,64402.70703125,64465.390625,64402.70703125,64434.25390625,64434.25390625,37983232,55.48450558402833,,,,64394.21484375,,,,64338.73033816597,,,,,,,,
2024-06-23 01:45:00,64426.921875,64460.94140625,64426.921875,64458.25,64458.25,0,49.53548557989598,,,,64413.66517857143,,,,64364.12969299153,,,,,,,,
2024-06-23 02:00:00,64447.86328125,64447.86328125,64407.52734375,64407.52734375,64407.52734375,0,29.428871125043838,,,,64425.963169642855,,,,64396.534298517814,,,,,,,,
2024-06-23 02:15:00,64401.671875,64421.88671875,64375.6171875,64375.6171875,64375.6171875,0,31.71958779846755,,,,64414.71037946428,,,,64382.99079166581,,,,,,,,
2024-06-23 02:30:00,64378.53515625,64395.37109375,64365.08203125,64365.08203125,64365.08203125,0,33.35035157058104,,,,64403.29966517857,,,,64369.94931360799,,,,,,,,
2024-06-23 02:45:00,64363.140625,64443.6796875,64352.5625,64443.6796875,64443.6796875,5131264,34.941786246654104,,,,64412.06640625,,,,64377.12462000335,,,,,,,,
2024-06-23 03:00:00,64479.40234375,64489.140625,64456.75,64456.75,64456.75,0,38.11980818001943,,,,64420.165736607145,,,,64382.04592842713,,,,,,,,
2024-06-23 03:15:00,64445.1015625,64452.41796875,64423.8828125,64423.8828125,64423.8828125,4789248,37.67999718753192,47.30058538656352,,,64418.68415178572,64406.449497767855,,,64381.00415459819,64453.75008315442,64359.14891238129,,,,,,
2024-06-23 03:30:00,64432.41015625,64442.50390625,64418.40625,64419.64453125,64419.64453125,0,33.51926651636276,40.63410346581235,,,64413.16908482143,64413.41713169643,,,64379.649818305064,64454.05123516224,64372.78302823062,,,,,,
2024-06-23 03:45:00,64420.546875,64441.44140625,64411.28515625,64411.28515625,64411.28515625,19456000,33.44385843840529,30.92564499937912,,,64413.70591517857,64419.83454241072,,,64380.26205674017,64450.760187410095,64388.90889741134,,,,,,
2024-06-23 04:00:00,64402.80859375,64408.84375,64380.03125,64398.1875,64398.1875,2025472,30.07835848027346,29.7195697150826,,,64416.93024553572,64415.8203125,,,64386.85188705545,64445.53988221508,64386.10074278492,,,,,,
2024-06-23 04:15:00,64397.75,64401.33984375,64358.2578125,64358.2578125,64358.2578125,28470272,32.08273189549806,32.117415239174015,,,64415.955357142855,64409.62751116072,,,64383.87262524736,64441.74492639989,64377.51009592154,,,,,,
2024-06-23 04:30:00,64360.00390625,64368.74609375,64360.00390625,64360.57421875,64360.57421875,0,35.32609174745768,34.00930934370249,,,64404.08314732143,64408.07477678572,,,64368.75705557397,64442.08408612942,64374.065467442015,,,,,,
2024-06-23 04:45:00,64364.6015625,64368.11328125,64353.84375,64356.375,64356.375,0,30.415348907812067,36.69887445769314,,,64389.743861607145,64404.954799107145,,,64359.328512699336,64441.65367356484,64368.25592464945,,,,,,
2024-06-23 05:00:00,64353.19921875,64397.07421875,64353.19921875,64377.34375,64377.34375,3492864,26.55008928600202,36.354121507022576,42.34394460249654,,64383.095424107145,64400.88978794643,64398.66480654762,,64356.545334821145,64437.24390945345,64364.535666439406,64441.00875115011,64356.320861945125,,,,
2024-06-23 05:15:00,64372.5546875,64372.5546875,64333.984375,64343.34375,64343.34375,5924864,24.637758206360083,35.365495143036554,40.64270451841356,,64372.1953125,64392.68219866072,64399.67652529762,,64347.55755429364,64428.047693803754,64357.31670351768,64440.31922981603,64359.03382077921,,,,
2024-06-23 05:30:00,64337.234375,64351.9375,64333.359375,64334.890625,64334.890625,0,21.10294822940788,38.23204564174129,39.43631209453557,,64361.28180803572,64387.493861607145,64400.31696428572,,64340.17885980631,64425.72590724889,64349.2618159654,64439.75327638025,64360.88065219118,,,,
2024-06-23 05:45:00,64336.6484375,64369.4453125,64336.6484375,64354.359375,64354.359375,0,13.43801565942535,39.15110933793989,38.61124510360729,,64355.02064732143,64385.97544642857,64395.55375744047,,64341.582631662,64425.12655576651,64346.824337090635,64434.16500254408,64356.942512336864,,,,
2024-06-23 06:00:00,64353.89453125,64362.56640625,64344.078125,64362.56640625,64362.56640625,0,13.706986244461659,39.25999926425201,37.51053085932158,,64355.63616071428,64385.79575892857,64391.63039434524,,64341.92917446982,64425.05575819282,64346.53575966432,64429.140925204556,64354.11986348592,,,,
2024-06-23 06:15:00,64358.65625,64362.3515625,64357.6484375,64360.66015625,64360.66015625,0,13.712183696611545,35.976984462816965,38.07282892543602,,64355.6484375,64379.86579241072,64390.599330357145,,64341.93625380339,64415.842776873535,64343.8888079479,64428.67215928258,64352.52650143171,,,,
