Datetime,Open,High,Low,Close,Adj Close,Volume
2024-08-19 00:00:00,58454.41015625,58490.6796875,58299.39453125,58487.66015625,58487.66015625,365481984
2024-08-19 00:15:00,58645.7421875,58667.15234375,58365.05078125,58473.58984375,58473.58984375,541544448
2024-08-19 00:30:00,58456.10546875,58592.3671875,58388.4296875,58568.2421875,58568.2421875,160102400
2024-08-19 00:45:00,58596.078125,58677.81640625,58391.3125,58391.3125,58391.3125,116688896
2024-08-19 01:00:00,58380.109375,58465.10546875,58294.1796875,58465.10546875,58465.10546875,328742912
2024-08-19 01:15:00,58469.640625,58469.640625,58316.015625,58421.28125,58421.28125,313196544
2024-08-19 01:30:00,58439.04296875,58604.4921875,58439.04296875,58603.375,58603.375,234287104
2024-08-19 01:45:00,58550.79296875,58562.90625,58486.91796875,58548.3359375,58548.3359375,198483968
2024-08-19 02:00:00,58569.58203125,58575.8671875,58501.0625,58501.0625,58501.0625,25339904
2024-08-19 02:15:00,58496.76171875,58611.06640625,58493.57421875,58602.859375,58602.859375,128045056
2024-08-19 02:30:00,58612.0,58719.5078125,58598.4609375,58598.4609375,58598.4609375,127842304
2024-08-19 02:45:00,58583.7578125,58729.26171875,58583.7578125,58720.1015625,58720.1015625,0
2024-08-19 03:00:00,58710.6640625,58728.5546875,58663.44921875,58672.0625,58672.0625,0
2024-08-19 03:15:00,58669.8203125,58677.3359375,58595.87109375,58677.3359375,58677.3359375,12101632
2024-08-19 03:30:00,58689.43359375,58724.69921875,58667.61328125,58724.69921875,58724.69921875,24547328
2024-08-19 03:45:00,58754.55078125,58754.55078125,58718.16796875,58751.984375,58751.984375,29214720
2024-08-19 04:00:00,58740.70703125,58747.015625,58663.7890625,58663.7890625,58663.7890625,0
2024-08-19 04:15:00,58664.703125,58664.703125,58572.26953125,58587.1015625,58587.1015625,8521728
2024-08-19 04:30:00,58571.84375,58633.15625,58518.0390625,58518.0390625,58518.0390625,92002304
2024-08-19 04:45:00,58514.859375,58599.234375,58514.859375,58587.9453125,58587.9453125,6914048
2024-08-19 05:00:00,58579.328125,58607.79296875,58500.21484375,58506.4375,58506.4375,0
2024-08-19 05:15:00,58499.3125,58527.6640625,58458.98046875,58472.30078125,58472.30078125,11198464
2024-08-19 05:30:00,58462.875,58584.90234375,58398.28125,58545.58203125,58545.58203125,135890944
2024-08-19 05:45:00,58553.91015625,58553.91015625,58421.22265625,58486.3671875,58486.3671875,42964992
2024-08-19 06:00:00,58486.3515625,58503.1640625,58410.9375,58411.0703125,58411.0703125,41549824
2024-08-19 06:15:00,58413.66796875,58524.63671875,58413.66796875,58511.8984375,58511.8984375,85274624
2024-08-19 06:30:00,58510.0234375,58612.390625,58509.98828125,58609.73046875,58609.73046875,49973248
2024-08-19 06:45:00,58599.1484375,58671.87109375,58599.1484375,58603.59765625,58603.59765625,67930112
2024-08-19 07:00:00,58601.9140625,58750.43359375,58577.74609375,58737.58984375,58737.58984375,94988288
2024-08-19 07:15:00,58745.578125,58745.578125,58578.6328125,58591.4609375,58591.4609375,42461184
2024-08-19 07:30:00,58561.36328125,58649.03125,58561.36328125,58649.03125,58649.03125,63410176
2024-08-19 07:45:00,58648.6171875,58649.4765625,58522.84765625,58522.84765625,58522.84765625,29200384
2024-08-19 08:00:00,58522.25,58583.4140625,58476.1875,58561.9140625,58561.9140625,50294784
2024-08-19 08:15:00,58559.46875,58620.96484375,58559.46875,58620.1171875,58620.1171875,73695232
2024-08-19 08:30:00,58630.19140625,58658.8125,58611.8125,58611.8125,58611.8125,36382720
2024-08-19 08:45:00,58606.16015625,58636.87109375,58584.58203125,58616.65234375,58616.65234375,27074560
2024-08-19 09:00:00,58625.57421875,58669.96484375,58608.66015625,58662.08203125,58662.08203125,702464
2024-08-19 09:15:00,58658.3984375,58660.91015625,58608.43359375,58632.37109375,58632.37109375,1775616
2024-08-19 09:30:00,58636.390625,58663.390625,58585.26953125,58585.26953125,58585.26953125,50692096
2024-08-19 09:45:00,58582.48046875,58582.48046875,58028.08203125,58028.08203125,58028.08203125,465983488
2024-08-19 10:00:00,58040.0390625,58128.625,57917.34765625,58061.84765625,58061.84765625,392114176
2024-08-19 10:15:00,58112.38671875,58203.84375,58057.17578125,58203.84375,58203.84375,88195072
2024-08-19 10:30:00,58173.47265625,58173.47265625,58093.55859375,58106.23828125,58106.23828125,36366336
2024-08-19 10:45:00,58066.54296875,58135.49609375,58066.54296875,58076.70703125,58076.70703125,12328960
2024-08-19 11:00:00,58072.48828125,58184.37109375,58072.48828125,58158.3125,58158.3125,60758016
2024-08-19 11:15:00,58160.12890625,58160.12890625,58021.32421875,58021.32421875,58021.32421875,28827648
2024-08-19 11:30:00,58013.81640625,58101.21875,58013.81640625,58085.7109375,58085.7109375,40167424
2024-08-19 11:45:00,58116.91015625,58477.63671875,58116.91015625,58477.63671875,58477.63671875,165761024
2024-08-19 12:00:00,58440.60546875,58506.25,58411.34375,58411.34375,58411.34375,114235392
2024-08-19 12:15:00,58399.015625,58465.83203125,58315.796875,58465.83203125,58465.83203125,42248192
2024-08-19 12:30:00,58465.34375,58468.2734375,58418.81640625,58425.40234375,58425.40234375,26593280
2024-08-19 12:45:00,58425.58984375,58482.20703125,58399.0,58465.3671875,58465.3671875,9949184
2024-08-19 13:00:00,58472.6015625,58627.80078125,58470.7421875,58608.78125,58608.78125,129443840
